model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128",49.231429,0.095146,19.118655,0.007845,0.461525,0.309430,0.141190,0.010905
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64",48.388454,0.091783,19.238782,0.008074,0.561522,0.396655,0.153623,0.011244
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128",49.873783,0.094069,20.022224,0.008154,0.516176,0.354012,0.150851,0.011313
NN,"hidden_[200, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_128",49.961881,0.096300,19.577826,0.007471,0.670056,0.504208,0.155379,0.010470
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64",48.701714,0.093335,19.113412,0.007940,0.458724,0.302146,0.145549,0.011029
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",50.112805,0.096149,19.467049,0.009005,0.488920,0.332540,0.143636,0.012744
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.223003,0.099583,19.776573,0.007858,0.497386,0.330337,0.156098,0.010951
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",49.936080,0.093725,20.210352,0.008042,0.589387,0.425119,0.152989,0.011279
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",49.990528,0.094371,19.959697,0.008598,0.606171,0.437275,0.156991,0.011905
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",50.776961,0.094031,20.807032,0.008803,0.510525,0.326567,0.171826,0.012131
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",51.370223,0.096487,20.693636,0.008652,0.669811,0.488016,0.169458,0.012336
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",52.141451,0.097831,20.719131,0.010365,0.630132,0.438323,0.177485,0.014325
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",49.004492,0.093211,19.418248,0.008114,0.618504,0.457613,0.149658,0.011234
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_256",49.316027,0.093484,19.677646,0.007966,0.554481,0.398321,0.145150,0.011009
